namesGroup1,namesGroup2,namesGroup3,frequency
"[""Εκκίνηση διαδικασίας""]","[""Κατάθεση αίτησης και λοιπών δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",45
"[""Έλεγχος Δικαιολογητικών""]","[""Πρωτοκόλληση Δικαιολογητικών""]","[""Διαβίβαση Αίτησης και Δικαιολογητικών""]",39
"[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]","[""Καταχώριση στοιχείων πολίτη, δημιουργία και πρωτοκόλληση αίτησης""]",38
"[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]","[""Έλεγχος έννομου συμφέροντος τρίτου""]",33
"[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]","[""Έλεγχος έννομου συμφέροντος τρίτου""]","[""Έκδοση και επίδοση της βεβαίωσης""]",33
"[""Πρωτοκόλληση""]","[""Έλεγχος Δικαιολογητικών""]","[""Επεξεργασία""]",31
"[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]","[""Καταχώριση στοιχείων πολίτη, δημιουργία και πρωτοκόλληση αίτησης""]","[""Αποστολή φακέλου υπόθεσης στην αρμόδια υπηρεσία""]",29
"[""Εκκίνηση διαδικασίας""]","[""Υποβολή Δήλωσης και Δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Δήλωσης και Δικαιολογητικών""]",23
"[""Έγγραφο περί ελλείψεων δικαιολογητικών""]","[""Λήψη απόντων δικαιολογητικών""]","[""Μη παραλαβή επιπλέον δικαιολογητικών ή ελλείψεις στα δικαιολογητικά""]",23
"[""Λήψη απόντων δικαιολογητικών""]","[""Μη παραλαβή επιπλέον δικαιολογητικών ή ελλείψεις στα δικαιολογητικά""]","[""Απόρριψη αίτησης""]",23
"[""Επεξεργασία της αίτησης από το αρμόδιο Τμήμα""]","[""Δημοσίευση στο Μητρώο Αιτήσεων Αδειών""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]",22
"[""Δημοσίευση στο Μητρώο Αιτήσεων Αδειών""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]","[""Αξιολόγηση τυχόν υποβληθέντων ενστάσεων και αξιολόγηση φακέλου""]",22
"[""Πρωτοκόλληση αίτησης από τον υπάλληλο (μέσω του ΟΠΣ του ΟΣΔΔΥΔΔ)""]","[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]",22
"[""Έκδοση διαταγής τοποθέτησης""]","[""Λήξη Διαδικασίας""]","[""Παραλαβή τυχόν ενδικοφανών προσφυγών""]",22
"[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Διαβίβαση αίτησης""]","[""Υποβολή αίτησης""]",21
"[""Διαβίβαση αίτησης""]","[""Υποβολή αίτησης""]","[""Έλεγχος δικαιολογητικών""]",21
"[""Υποβολή αίτησης""]","[""Έλεγχος δικαιολογητικών""]","[""Υπογραφή βεβαίωσης""]",21
"[""Πρωτοκόλληση της αίτησης""]","[""Δρομολόγηση αίτησης""]","[""Έλεγχος έννομου συμφέροντος""]",21
"[""Εκκίνηση διαδικασίας""]","[""Υποβολή αίτησης""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",20
"[""Λήψη απόφασης""]","[""Έκδοση διαταγής τοποθέτησης""]","[""Λήξη Διαδικασίας""]",20
"[""Παραλαβή αίτησης του αιτούντος από το δικαστικό κατάστημα""]","[""Πρωτοκόλληση αίτησης από τον υπάλληλο (μέσω του ΟΠΣ του ΟΣΔΔΥΔΔ)""]","[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]",20
"[""Πρωτοκόλληση Δικαιολογητικών""]","[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Σύνταξη Εισήγησης Επιλεγέντων""]",20
"[""Πρωτοκόλληση Δικαιολογητικών""]","[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Δικαιολογητικών - Εντύπων - Γ’ Φάση""]",20
"[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Δικαιολογητικών - Εντύπων - Γ’ Φάση""]","[""Ανακοίνωση Ημερομηνίας Εξετάσεων""]",20
"[""Παραλαβή Δικαιολογητικών - Εντύπων - Γ’ Φάση""]","[""Ανακοίνωση Ημερομηνίας Εξετάσεων""]","[""Διενέργεια Εξετάσεων""]",20
"[""Ανακοίνωση Ημερομηνίας Εξετάσεων""]","[""Διενέργεια Εξετάσεων""]","[""Ανακοίνωση Αποτελεσμάτων""]",20
"[""Συμπλήρωση Πληροφοριακών Συστημάτων""]","[""Προετοιμασία ειδικών Αδειών""]","[""Υπογραφή Άδειας""]",20
"[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Έλεγχος Δικαιολογητικών""]","[""Πρωτοκόλληση Δικαιολογητικών""]",19
"[""Λήξη Διαδικασίας""]","[""Παραλαβή τυχόν ενδικοφανών προσφυγών""]","[""Λήψη απόφασης επί τυχόν υποβληθεισών ενδικοφανών προσφυγών""]",19
"[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]","[""Έλεγχος Δικαιολογητικών""]","[""Πρωτοκόλληση Δικαιολογητικών""]",19
"[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Σύνταξη Εισήγησης Επιλεγέντων""]","[""Σύνταξη εισήγησης και Διαβίβαση προς Υπογραφή""]",19
"[""Σύνταξη Εισήγησης Επιλεγέντων""]","[""Σύνταξη εισήγησης και Διαβίβαση προς Υπογραφή""]","[""Υπογραφή και διαβίβαση της εισήγησης - Γ’ Φάση""]",19
"[""Σύνταξη εισήγησης και Διαβίβαση προς Υπογραφή""]","[""Υπογραφή και διαβίβαση της εισήγησης - Γ’ Φάση""]","[""Σύνταξη Απόφασης""]",19
"[""Υπογραφή και διαβίβαση της εισήγησης - Γ’ Φάση""]","[""Σύνταξη Απόφασης""]","[""Διαβίβαση φακέλου""]",19
"[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]","[""Έκδοση του πιστοποιητικού""]",19
"[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος ορθότητας/πληρότητας αίτησης και δικαιολογητικών""]",17
"[""Δρομολόγηση αίτησης""]","[""Έλεγχος έννομου συμφέροντος""]","[""Έκδοση του πιστοποιητικού""]",16
"[""Παραλαβή αίτησης""]","[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]",16
"[""Κατάθεση αίτησης και λοιπών δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Έλεγχος Δικαιολογητικών""]",16
"[""Κατάθεση αίτησης και πρωτοκόλλησή της""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας του φακέλου""]","[""Αποδοχή αιτήματος""]",16
"[""Δημοσίευση στο Μητρώο των Αιτήσεων Αδειών Εμπορίας""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]","[""Αξιολόγηση τυχόν υποβληθέντων ενστάσεων και αξιολόγηση φακέλου""]",16
"[""Διενέργεια Εξετάσεων""]","[""Ανακοίνωση Αποτελεσμάτων""]","[""Σύνταξη απόφασης αποτελεσμάτων""]",15
"[""Ανακοίνωση Αποτελεσμάτων""]","[""Σύνταξη απόφασης αποτελεσμάτων""]","[""Συμπλήρωση Πληροφοριακών Συστημάτων""]",15
"[""Σύνταξη απόφασης αποτελεσμάτων""]","[""Συμπλήρωση Πληροφοριακών Συστημάτων""]","[""Προετοιμασία ειδικών Αδειών""]",15
"[""Υποβολή αίτησης""]","[""Πρωτοκόλληση της αίτησης""]","[""Δρομολόγηση αίτησης""]",15
"[""Πρωτοκόλληση αιτήματος""]","[""Χρέωση αιτήματος σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας φακέλου""]",14
"[""Δημοσίευση Προκήρυξης για συμμετοχή σε εξετάσεις""]","[""Ηλεκτρονική Παραλαβή Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]",14
"[""Σύνταξη πρακτικού θεωρητικών εξετάσεων""]","[""Διενέργεια εξετάσεων για το πρακτικό μέρος""]","[""Σύνταξη πρακτικού εξετάσεων και Βεβαίωσεων επιτυχίας""]",13
"[""Για την έγκριση συμμετοχής σε εξετάσεις: Επίδειξη αίτησης""]","[""Για την έγκριση συμμετοχής σε εξετάσεις: Επίδειξη αίτησης""]","[""Για την έγκριση συμμετοχής σε εξετάσεις: Επίδειξη αίτησης""]",13
"[""Ηλεκτρονική Παραλαβή Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]","[""Έλεγχος Δικαιολογητικών""]",13
"[""Διαδικασία Χορήγησης Πρωτοκόλλου Εισερχομένων Εγγράφων""]","[""Έλεγχος της Αίτησης και της Πληρότητας των Δικαιολογητικών""]","[""Πληρότητα Δικαιολογητικών""]",13
"[""Έλεγχος της Αίτησης και της Πληρότητας των Δικαιολογητικών""]","[""Πληρότητα Δικαιολογητικών""]","[""Έλλειψη Δικαιολογητικών και Εκκρεμότητες""]",13
"[""Έλεγχος Δικαιολογητικών""]","[""Επεξεργασία""]","[""Εκκαθάριση""]",13
"[""Επεξεργασία""]","[""Εκκαθάριση""]","[""Εισήγηση για Έγκριση""]",12
"[""Εκκαθάριση""]","[""Εισήγηση για Έγκριση""]","[""Ενταλματοποίηση-Πληρωμή""]",12
"[""Προσέλευση σε ΚΕΠ""]","[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]",12
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή αίτησης και δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",12
"[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας του φακέλου""]","[""Αποδοχή αιτήματος""]","[""Απόρριψη αιτήματος""]",12
"[""Υποβολή δικαιολογητικών στην προϊστάμενη Διεύθυνση""]","[""Παραλαβή αιτήματος από την αρμόδια Διεύθυνση.""]","[""Εξέταση αιτήματος από αστυνομικό υπάλληλο.""]",12
"[""Παραλαβή αιτήματος από την αρμόδια Διεύθυνση.""]","[""Εξέταση αιτήματος από αστυνομικό υπάλληλο.""]","[""Έκδοση απόφασης""]",12
"[""Έλεγχος πληρότητας και ορθότητας""]","[""Πρωτοκόλληση Αίτησης""]","[""Παραλαβή Βεβαίωση Υποβολής Αιτήματος""]",12
"[""Αποστολή δικαιολογητικών""]","[""Έλεγχος λοιπών δικαιολογητικών.""]","[""Αποστολή δικαιολογητικών""]",11