Evidence,NumberOfProcesses
"""Η διαδικασία αφορά στην έκδοση ηλεκτρονικής υπεύθυνης δήλωσης από τον ενδιαφερόμενο, χωρίς να απαιτείται επίσκεψη σε κατάστημα διοικητικής αρχής ή ΚΕΠ.
Μπορείτε να μπείτε στην υπηρεσία έκδοσης της ηλεκτρονικής υπεύθυνης δήλωσης με τους εξής δύο (2) τρόπους: α) με τoυς προσωπικούς σας κωδικούς web banking σε μία από τις διαθέσιμες τράπεζες ή β) με τους προσωπικούς σας κωδικούς πρόσβασης στο TAXISnet (αφού πρώτα μπείτε μία φορά με τους κωδικούς web banking, για να επιβεβαιώσετε τον αριθμό του κινητού σας τηλεφώνου).
Στη συνέχεια, θα λάβετε κωδικούς επιβεβαίωσης με SMS στο κινητό σας.
Η ηλεκτρονική υπεύθυνη δήλωση που θα εκδώσετε είναι νομικά ισοδύναμη με υπεύθυνη δήλωση που φέρει το γνήσιο της υπογραφής και μπορείτε είτε να την αποστείλετε ηλεκτρονικά, είτε να την εκτυπώσετε και να την καταθέσετε σε δημόσια υπηρεσία. Παράλληλα, διατηρείται το δικαίωμα του πολίτη να υπογράφει φυσικά το έντυπο της Υπεύθυνης Δήλωσης του ν. 1599/86 (άρθρο 8) και να το καταθέτει σε αρμόδια υπηρεσία, ως δικαιολογητικό, για υπόθεσή του.""",173
"""Εξουσιοδότηση. Η διαδικασία αφορά στην έκδοση εξουσιοδότησης από τον άμεσα ενδιαφερόμενο προς το πρόσωπο που εξουσιοδοτεί για να ενεργεί για λογαριασμό του, στο πλαίσιο διεκπεραίωσης υποθέσεων και μέχρι του εύρους εξουσίας που του παρέχεται. Η εξουσιοδότηση για να είναι αποδεκτή από κάθε διοικητική αρχή θα πρέπει να φέρει το γνήσιο της υπογραφής του εξουσιοδοτούντος και άμεσα ενδιαφερόμενου προσώπου, καθώς με τον τρόπο αυτό διασφαλίζεται η δήλωση της βούλησής του. Η εξουσιοδότηση εκδίδεται είτε με επίσκεψη του πολίτη σε οποιαδήποτε διοικητική αρχή ή ΚΕΠ για τη βεβαίωση του γνησίου της υπογραφής του στο κείμενο εξουσιοδότησης που επιθυμεί, είτε με τη χρήση της υπηρεσίας ηλεκτρονικής έκδοσης εξουσιοδότησης (e-exousiodotisi), μέσω της Ενιαίας Ψηφιακής Πύλης (ΕΨΠ-gov.gr) της δημόσιας διοίκησης.""",103
"""Φωτοαντίγραφο αστυνομικής ταυτότητας""",93
"""Η διαδικασία αφορά την έκδοση πιστοποιητικού οικογενειακής κατάστασης  από το Δημοτολόγιο όπου ο πολίτης διατηρεί την οικογενειακή μερίδα του. Για τη χορήγηση του πιστοποιητικού ο ενδιαφερόμενος δύναται:
α) να  απευθυνθεί στον Δήμο που είναι εγγεγραμμένος, β) να απευθυνθεί στα Κέντρα Εξυπηρέτησης Πολιτών (ΚΕΠ), γ) μέσω του www.gov.gr και με τη χρήση κωδικών TaxisNet να το εκδώσει ψηφιακά.""",90
"""Ληξιαρχική Πράξη Θανάτου, η οποία χορηγείται στους εγγύτερους συγγενείς του/της θανόντος/θανούσης, εφόσον έχει συνταχθεί σύμφωνα με το ν.344/1976 όπως ισχύει.""",63
"""Πιστοποιητικό οικογενειακής κατάστασης""",62
"""Φωτοαντίγραφο του δελτίου αστυνομικής ταυτότητας (και των δύο όψεων) ή διαβατηρίου.""",47
"""Αποδεικτικό πληρωμής παραβόλου""",41
"""Αίτηση «εγγραφής για τις δωρεάν υπηρεσίες του Τ.Ε.Ε. (My ΤΕΕ)».""",40
"""Αίτηση - Δήλωση Διάθεσης Δημοσιοποίησης Δεδομένων Προσωπικού Χαρακτήρα  του ενδιαφερόμενου.""",39
"""Αντίγραφο ταυτότητας ή διαβατηρίου.""",38
"""Η διαδικασία αφορά την έκδοση Ληξιαρχικής πράξης γέννησης και απευθύνεται σε όσους έχει συνταχθεί Ληξιαρχική Πράξη Γεννήσεως σε Ελληνικό Ληξιαρχείο.""",37
"""Δύο πρόσφατες φωτογραφίες.""",35
"""Ληξιαρχική Πράξη γάμου, η οποία προϋποθέτει την καταχώρηση του γεγονότος του θρησκευτικού ή πολιτικού γάμου στο Ληξιαρχείο του Δήμου που πραγματοποιήθηκε σύμφωνα με τον ν. 344/1976.""",31
"""Επικυρωμένο αντίγραφο της πράξης διορισμού εκπροσώπου του διοικητικού συμβουλίου της Ανώνυμης Εταιρείας (ΑΕ) ή επικυρωμένο αντίγραφο του καταστατικού ή εταιρικού προκειμένου για νομικό πρόσωπο άλλης μορφής.""",30
"""Πιστοποιητικό Υπηρεσιακών Μεταβολών""",30
"""Βιογραφικό σημείωμα""",30
"""Υπεύθυνη δήλωση ν.1599/1986 των ενδιαφερομένων στην οποία αναφέρεται ότι ο δηλών δεν εμπίπτει στις απαγορευτικές διατάξεις του άρθρου 18 του ν.2168/1993 και ότι δεν τυγχάνει φυγόποινος ή φυγόδικος""",29
"""Φωτοαντίγραφο διαβατηρίου""",28
"""Εξουσιοδότηση ή πληρεξούσιο, σε περίπτωση που ο αιτών δεν είναι διάδικος/ παραστάς δικηγόρος""",28
"""Πιστοποιητικό της αρμόδιας για το επάγγελμα αρχής ότι ο ενδιαφερόμενος είναι νόμιμα εγκατεστημένος στο κράτος – μέλος προέλευσης για την άσκηση του εν λόγω επαγγέλματος/δραστηριότητας και δεν του έχει απαγορευθεί, έστω και προσωρινά, η άσκηση αυτού.""",28
"""Πιστοποιητικό ιατρού ειδικότητας ψυχιάτρου από το οποίο να προκύπτει η κατάσταση της ψυχικής υγείας του ενδιαφερομένου προκειμένου για ατομική επιχείρηση ή των εκπροσώπων και διαχειριστών προκειμένου για Α.Ε. και Ε.Π.Ε. και των ομορρύθμων εταίρων προκειμένου για Ο.Ε. και Ε.Ε..""",28
"""ΦΕΚ /Ανακοίνωση του αρμόδιου Εμπορικού και Βιομηχανικού Επιμελητηρίου/Υπηρεσία ΓΕΜΗ περί σύστασης και τροποποιήσεων του καταστατικού του νομικού προσώπου.""",27
"""Αντίγραφο της αρχικής εταιρικής σύμβασης (καταστατικού) και των τυχόν τροποποιήσεών της.""",26
"""Βεβαίωση για το επάγγελμα εγκατάστασης από την αρμόδια εποπτική αρχή του κράτους ότι ο πάροχος είναι νόμιμα εγκατεστημένος σε αυτό για την άσκηση των οικείων δραστηριοτήτων και ότι δεν του έχει απαγορευθεί, έστω και προσωρινά, η άσκηση των δραστηριοτήτων αυτών κατά τον χρόνο της χορήγησης της βεβαίωσης.""",26
"""Φορολογική ενημερότητα του νομικού προσώπου.""",25
"""Το πλέον πρόσφατο κωδικοποιημένο καταστατικό του νομικού προσώπου θεωρημένο από την αρμόδια αρχή.""",24
"""Έγγραφο που αποδεικνύει το έννομο συμφέρον του αιτούντος""",24
"""ΦΕΚ / Ανακοίνωση του αρμόδιου Εμπορικού και Βιομηχανικού Επιμελητηρίου/Υπηρεσία ΓΕΜΗ, περί συγκρότησης Διοικητικού Συμβουλίου του νομικού προσώπου και εκπροσώπησης αυτού.""",24
"""Αντίγραφο του πιστοποιητικού μαθημάτων (αναλυτική βαθμολογία κατ’ έτος) με επίσημη μετάφραση και νομίμως επικυρωμένο.""",23