Process1,Process2,NumberOfSharedConditions,NumberOfSharedEvidences
574243,476682,16,16
574243,627122,16,14
574243,781838,16,13
193433,441534,12,5
421858,842499,11,13
421858,237276,11,6
556174,384427,11,6
360159,378273,9,7
131976,962443,9,7
822349,515758,9,7
131976,698901,8,11
729122,104857,8,6
158679,794128,8,6
158679,743042,8,6
585278,127597,7,13
236384,539040,7,9
158679,865079,7,7
158679,219046,7,7
158679,706036,7,7
158679,280463,7,7
158679,892444,7,7
158679,421094,7,7
158679,403394,7,7
217892,345890,7,7
217892,998423,7,7
217892,826694,7,7
217892,649854,7,7
217892,458046,7,7
217892,787673,7,7
217892,254728,7,7
217892,841974,7,7
217892,537887,7,7
217892,675914,7,7
217892,251017,7,7
217892,186337,7,7
217892,308807,7,7
217892,595843,7,7
217892,435858,7,7
217892,739124,7,7
217892,872815,7,7
217892,991877,7,7
217892,217677,7,7
158679,834418,7,7
963466,485137,7,6
158679,915168,7,6
214376,327603,7,5
963466,615814,7,5
963466,490024,7,5
158679,884114,7,5
158679,673819,7,5
449862,488870,7,4
814084,344649,6,9
814084,621085,6,9
746473,669867,6,7
686844,118431,6,7
131976,822742,6,7
814084,915143,6,7
214376,885162,6,5
449862,186293,6,4
214376,313511,6,4
746473,692379,6,4
857575,754459,5,17
857575,786374,5,14
857575,790644,5,13
647884,314139,5,12
585278,685595,5,12
964979,962443,5,11
857575,353302,5,11
585278,908805,5,11
964979,822742,5,10
131976,884241,5,9
814084,443883,5,9
615814,490024,5,9
631326,953700,5,7
814084,430204,5,7
746473,901268,5,6
631326,649333,5,6
236617,361787,5,6
236617,321697,5,6
168543,689165,5,5
631326,381134,5,5
109361,426207,5,5
746473,516037,5,4
884241,336537,5,4
857575,560041,4,21
857575,474294,4,21
857575,573309,4,20
857575,562208,4,11
778067,238460,4,9
857575,486808,4,9
647884,979234,4,8
139204,960388,4,8
857575,749807,4,8
647884,471441,4,7
702322,159236,4,7
139204,161984,4,7
472783,768960,4,6
560235,457964,4,6
225434,742507,4,5
109361,193639,4,5
778067,293105,4,4
591516,394196,4,4
963466,787156,4,4
217892,941304,4,4
217892,348756,4,4
217892,329698,4,4
217892,754234,4,4
217892,783256,4,4